
Integration time [ms]:  32,000
Averaging Nr. [scans]: 5
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804343U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
326,343;64587,602;64586,398;    0,000
326,361;64565,602;64576,602;    0,000
326,379;64587,602;64586,398;    0,000
326,397;64565,602;64576,602;    0,000
326,415;64587,602;64586,398;    0,000
326,433;64565,602;64576,602;    0,000
326,452;64587,602;64586,398;    0,000
326,470;64565,602;64576,602;    0,000
326,488; 1527,200; 2188,800;    0,000
326,506; 1688,000; 4560,600;    0,000
326,524; 1319,600; 1291,600;    0,000
326,542; 1221,600; 1250,200;    0,000
326,560; 1168,400; 1147,800;    0,000
326,579; 1104,400; 1138,600;    0,000
326,597; 1051,600; 1130,000;    0,000
326,615; 1146,600; 1128,000;    0,000
326,633; 1062,000; 1086,000;    0,000
326,651;  980,600; 1024,000;    0,000
326,669;  980,000;  944,000;    0,000
326,687;  939,000;  963,800;    0,000
326,705;  804,400;  788,400;    0,000
326,723;  719,000;  726,000;    0,000
326,742;  702,200;  729,600;    0,000
326,760;  760,400;  786,000;    0,000
326,778;  882,200;  856,000;    0,000
326,796;  835,800;  836,200;    0,000
326,814;  845,000;  884,000;    0,000
326,832; 1033,200; 1044,000;    0,000
326,850;  867,200;  961,400;    0,000
326,868;  841,200;  835,800;    0,000
326,886;  782,800;  832,000;    0,000
326,904;  714,200;  785,200;    0,000
326,922;  806,200;  830,800;    0,000
326,941;  847,000;  864,800;    0,000
326,959;  985,800; 1038,800;    0,000
326,977;  912,200;  941,200;    0,000
326,995;  895,000;  887,000;    0,000
327,013;  877,200;  907,600;    0,000
327,031;  991,800;  997,000;    0,000
327,049; 1004,000;  987,000;    0,000
327,067;  809,200;  843,200;    0,000
327,085;  722,400;  713,600;    0,000
327,103;  693,600;  703,600;    0,000
327,121;  659,600;  670,600;    0,000
327,139;  712,600;  747,800;    0,000
327,157;  761,000;  769,400;    0,000
327,175;  927,000;  912,400;    0,000
327,193;  785,400;  813,600;    0,000
327,211;  723,200;  717,200;    0,000
327,229;  803,600;  748,600;    0,000
327,247;  805,200;  837,200;    0,000
327,266; 1028,800; 1006,000;    0,000
327,284; 1097,000; 1110,400;    0,000
327,302; 1141,600; 1161,200;    0,000
327,320; 1092,800; 1091,000;    0,000
327,338;  808,400;  850,600;    0,000
327,356;  591,400;  582,800;    0,000
327,374;  358,200;  415,000;    0,000
327,392;  366,200;  426,200;    0,000
327,410;  548,400;  545,400;    0,000
327,428;  541,000;  547,800;    0,000
327,446;  366,000;  383,800;    0,000
327,464;  363,800;  366,000;    0,000
327,482;  380,000;  393,200;    0,000
327,500;  488,200;  443,000;    0,000
327,518;  503,800;  518,000;    0,000
327,536;  532,000;  523,400;    0,000
327,554;  494,800;  476,400;    0,000
327,572;  400,000;  377,800;    0,000
327,590;  289,000;  313,600;    0,000
327,608;  355,200;  319,400;    0,000
327,626;  302,000;  303,600;    0,000
327,644;  305,600;  291,200;    0,000
327,662;  241,000;  276,200;    0,000
327,680;  293,200;  293,800;    0,000
327,698;  233,000;  286,600;    0,000
327,716;  194,200;  227,800;    0,000
327,734;  124,400;  168,800;    0,000
327,752;  178,800;  202,800;    0,000
327,770;  169,200;  191,800;    0,000
327,787;  202,800;  179,200;    0,000
327,805;  160,800;  158,400;    0,000
327,823;  148,200;  236,400;    0,000
327,841;  129,200;  174,200;    0,000
327,859;  195,200;  172,600;    0,000
327,877;  174,000;  162,800;    0,000
327,895;  194,400;  202,800;    0,000
327,913;  173,000;  189,400;    0,000
327,931;  188,200;  195,000;    0,000
327,949;  155,600;  176,800;    0,000
327,967;  196,400;  201,400;    0,000
327,985;  149,600;  163,600;    0,000
328,003;  175,000;  190,200;    0,000
328,021;  180,200;  170,400;    0,000
328,039;  178,000;  159,200;    0,000
328,057;  138,000;  107,400;    0,000
328,075;  134,200;  135,800;    0,000
328,092;  122,800;   90,400;    0,000
328,110;  107,000;   67,600;    0,000
328,128;   89,800;   58,400;    0,000
328,146;   82,800;  106,200;    0,000
328,164;   64,400;   77,000;    0,000
328,182;   56,600;   82,400;    0,000
328,200;   60,200;   98,600;    0,000
328,218;   98,800;   73,400;    0,000
328,236;   61,800;   66,800;    0,000
328,254;   85,000;   73,800;    0,000
328,272;   68,400;  103,400;    0,000
328,289;   55,000;   76,600;    0,000
328,307;   65,200;   89,800;    0,000
328,325;   70,000;   78,200;    0,000
328,343;   55,800;   53,000;    0,000
328,361;   81,600;   89,200;    0,000
328,379;   49,200;   32,800;    0,000
328,397;  126,000;   56,600;    0,000
328,415;   63,600;   82,800;    0,000
328,432;   82,600;   72,000;    0,000
328,450;   80,800;   69,400;    0,000
328,468;   97,000;   87,800;    0,000
328,486;   62,200;   12,200;    0,000
328,504;   60,800;   77,000;    0,000
328,522;   34,600;   88,800;    0,000
328,540;   75,000;   74,200;    0,000
328,558;    5,200;   42,400;    0,000
328,575;   56,600;   69,200;    0,000
328,593;   32,000;   51,000;    0,000
328,611;   52,200;   73,600;    0,000
328,629;   11,000;   51,000;    0,000
328,647;   13,800;   41,200;    0,000
328,665;   39,800;   67,800;    0,000
328,682;   71,400;   62,200;    0,000
328,700;   44,000;   42,600;    0,000
328,718;   41,800;   41,600;    0,000
328,736;   -7,800;   49,000;    0,000
328,754;   25,800;   11,400;    0,000
