
Integration time [ms]:   1,150
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804343U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
324,937;  -46,000;  -51,000;    0,000
324,956;   10,000;   -3,000;    0,000
324,974;  -14,000;   68,000;    0,000
324,992;  -34,000;  -44,000;    0,000
325,011;  -19,000;  -22,000;    0,000
325,029;    8,000;    7,000;    0,000
325,047;    9,000;   78,000;    0,000
325,066;  -10,000;   -8,000;    0,000
325,084;  -59,000;   57,000;    0,000
325,102;   22,000;  -19,000;    0,000
325,121;   10,000;   45,000;    0,000
325,139;  -32,000;   19,000;    0,000
325,157;  -29,000;   61,000;    0,000
325,176;  -12,000;  -23,000;    0,000
325,194;   -9,000;    6,000;    0,000
325,212;   -4,000;  -11,000;    0,000
325,231;  -50,000;   39,000;    0,000
325,249;  -35,000;  -33,000;    0,000
325,267;   36,000;  116,000;    0,000
325,285;  -19,000;  -53,000;    0,000
325,304;  -48,000;   -4,000;    0,000
325,322;  -40,000;   30,000;    0,000
325,340;   19,000;   63,000;    0,000
325,359;  -73,000;  -44,000;    0,000
325,377;   41,000;    5,000;    0,000
325,395;   43,000;   40,000;    0,000
325,413;   34,000;   48,000;    0,000
325,432;  -43,000;  -30,000;    0,000
325,450;  -10,000;   29,000;    0,000
325,468;    8,000;  -17,000;    0,000
325,487;   16,000;  117,000;    0,000
325,505;   52,000;   50,000;    0,000
325,523;   65,000;   90,000;    0,000
325,541;   -6,000;   27,000;    0,000
325,560;    4,000;   -9,000;    0,000
325,578;  -11,000;   17,000;    0,000
325,596;   14,000;  -58,000;    0,000
325,614;   20,000;  -19,000;    0,000
325,633;  -69,000;   89,000;    0,000
325,651;   29,000;    4,000;    0,000
325,669;   45,000;   38,000;    0,000
325,687;   -8,000;  -39,000;    0,000
325,706;    0,000;   24,000;    0,000
325,724;  -53,000;  -29,000;    0,000
325,742;  -37,000;   67,000;    0,000
325,760;   52,000;  -15,000;    0,000
325,779;   52,000;   24,000;    0,000
325,797;   31,000;  -38,000;    0,000
325,815;  -48,000;    3,000;    0,000
325,833;  -49,000;    2,000;    0,000
325,852;  -16,000;   50,000;    0,000
325,870;  -19,000;   26,000;    0,000
325,888;    0,000;   16,000;    0,000
325,906;  -35,000;   50,000;    0,000
325,924;    4,000;   34,000;    0,000
325,943;  -15,000;   19,000;    0,000
325,961;   53,000;  -14,000;    0,000
325,979;  -49,000;  -10,000;    0,000
325,997;  -27,000;  -30,000;    0,000
326,015;   -1,000;  -17,000;    0,000
326,034;  -89,000;    3,000;    0,000
326,052;   -4,000;  -29,000;    0,000
326,070;   60,000;  -20,000;    0,000
326,088;   12,000;   13,000;    0,000
326,106;   80,000;   31,000;    0,000
326,125;    9,000;   24,000;    0,000
326,143;   -6,000;   45,000;    0,000
326,161;  -49,000;   60,000;    0,000
326,179;   -2,000;   36,000;    0,000
326,197;   39,000;  -24,000;    0,000
326,216;   13,000;   17,000;    0,000
326,234;    8,000;   27,000;    0,000
326,252;  -74,000;  -17,000;    0,000
326,270;   14,000;  -24,000;    0,000
326,288;  138,000;   65,000;    0,000
326,306;  -26,000;   25,000;    0,000
